edam_id	edam_label	fbbi_id	fbbi_label	matching_synonym
http://edamontology.org/topic_3382	Imaging	http://purl.obolibrary.org/obo/FBbi_00000222	imaging method	
http://edamontology.org/topic______Cryo_electron_microscopy	Cryo electron microscopy	http://purl.obolibrary.org/obo/FBbi_00100014	cryogenic transmission electron microscopy	
http://edamontology.org/topic______X_ray_imaging	X-ray imaging	http://purl.obolibrary.org/obo/FBbi_00001000	radiography	
http://edamontology.org/topic__RBZsLMTdyuEDtVe2fge61l0	Scanning electron microscopy	http://purl.obolibrary.org/obo/FBbi_00000257	scanning electron microscopy (SEM)	
http://edamontology.org/topic__RXLeVr0cHSXzTSRyO5zwZD	Scanning transmission electron microscopy	http://purl.obolibrary.org/obo/FBbi_00000380	scanning-transmission electron microscopy	
http://edamontology.org/topic_Widefield_microscopy	Widefield fluorescence microscopy	http://purl.obolibrary.org/obo/FBbi_00100013	wide-field fluorescence microscopy	
http://edamontology.org/topic__RtBCcu7zJiS0phrbR2HzAI	Phase-contrast microscopy	http://purl.obolibrary.org/obo/FBbi_00000247	phase contrast microscopy	
http://edamontology.org/topic__RByvmgDpAo4FOrMdvTm1gwR	Serial block-face scanning electron microscopy	http://purl.obolibrary.org/obo/FBbi_00000585	serial block face SEM (SBFSEM)	
http://edamontology.org/topic__Rn8MnorStmqIkNlAVZWBc0	Confocal fluorescence microscopy	http://purl.obolibrary.org/obo/FBbi_00000252	single-spot confocal microscopy	
http://edamontology.org/topic__RByvmgDpAo4FOrMdvTm1gwR	Serial block-face scanning electron microscopy	http://purl.obolibrary.org/obo/FBbi_00100017	cryogenic serial block face scanning electron microscopy	
http://edamontology.org/topic__R9O3HmIAjoN5IqXXXRukzzr	Electron tomography	http://purl.obolibrary.org/obo/FBbi_00001003	X-ray tomography	
http://edamontology.org/topic_____Raman_imaging	Raman imaging	http://purl.obolibrary.org/obo/FBbi_00000370	coherent Raman anti-Stokes microscopy	
http://edamontology.org/topic______X_ray_imaging	X-ray imaging	http://purl.obolibrary.org/obo/FBbi_00001003	X-ray tomography	
http://edamontology.org/topic______X_ray_imaging	X-ray imaging	http://purl.obolibrary.org/obo/FBbi_00001001	X-ray radiography	
http://edamontology.org/topic_____Near-field_scanning_optical_microscopy	Near-field scanning optical microscopy	http://purl.obolibrary.org/obo/FBbi_00000348	nearfield scanning optical microscopy (ANSOM)	
http://edamontology.org/topic_____Total_internal_reflection_fluorescence_microscopy	Total internal reflection fluorescence microscopy	http://purl.obolibrary.org/obo/FBbi_00000617	evanescent wave microscopy	
http://edamontology.org/topic__RxfmHE99gOkUOOML5krfsJ	Computed tomography	http://purl.obolibrary.org/obo/FBbi_00001002	X-ray computed tomography	ct scan, cat scan
http://edamontology.org/topic__RDCjx86atJP685sX1zrE2ia	Electron cryotomography	http://purl.obolibrary.org/obo/FBbi_00100015	cryogenic electron tomography	cryo-electron tomography
http://edamontology.org/topic__RDCjx86atJP685sX1zrE2ia	Electron cryotomography	http://purl.obolibrary.org/obo/FBbi_00100015	cryogenic electron tomography	cryo-electron tomography
