subset,id,label,exactSynonyms,relatedSynonyms,definition,comments,seeAlsos,wikipedia
topic,http://edamontology.org/topic_3444,Magnetic resonance imaging,"MRI, MRI",,,Technique using magnetic fields and radio waves to generate images of organs.,,"http://bioportal.bioontology.org/ontologies/NCIT/?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C16809&jump_to_nav=true, https://en.wikipedia.org/wiki/Magnetic_resonance_imaging"
topic,http://edamontology.org/topic__R9WwNqEL8rvkyBPk7GkDTYh,Photoacoustic tomography,"PAT, PAT",,,,,"https://en.wikipedia.org/wiki/Photoacoustic_imaging, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4311576"
topic,http://edamontology.org/topic__RBkRgSi7js0c70kjiPgYTgR,Single-photon emission computed tomography,,,,,,https://en.wikipedia.org/wiki/Single-photon_emission_computed_tomography
topic,http://edamontology.org/topic__RDos3h5yRfjhLUcOImDOFgB,Positron emission tomography,,,,,,https://en.wikipedia.org/wiki/Positron_emission_tomography
topic,http://edamontology.org/topic______Computed_microtomography,X-ray microtomography,"Computed microtomography, High-resolution micro-CT, Micro computed tomography, Micro-computed tomography, micro CT, micro-CT, µCT",,,,,"https://en.wikipedia.org/wiki/X-ray_microtomography, https://en.wikipedia.org/wiki/X-ray_microtomography, https://en.wikipedia.org/wiki/X-ray_microtomography, https://en.wikipedia.org/wiki/X-ray_microtomography, https://en.wikipedia.org/wiki/X-ray_microtomography, https://en.wikipedia.org/wiki/X-ray_microtomography, https://en.wikipedia.org/wiki/X-ray_microtomography"
topic,http://edamontology.org/topic_____Array_tomography,Array tomography,,,,Can be just EM or anything. But may also combine optical and electron microscopy of ultra thin serial sections.,volumetric microscopy method based on physical serial sectioning. Can be appyied in LM and EM. Work comment: should we even remove it from underneath Tomography and instead put it somewhere to Image Prep?,https://doi.org/10.1016/j.neuron.2007.06.014
topic,http://edamontology.org/topic_____Micro-optical_sectioning_tomography,Optical sectioning tomography,,,,,,
topic,http://edamontology.org/topic_____Soft_x-ray_tomography,Soft X-ray tomography,SXT,,,,,
topic,http://edamontology.org/topic______Optical_Projection_Tomography,Optical projection tomography,"OPT, OPT, Optical tomography, Optical tomography",,,OPT is a form of tomography using visible light to generate 3D image volumes based on absorption (label-free) or fluorescence.,,"https://en.wikipedia.org/wiki/Optical_projection_tomography, https://en.wikipedia.org/wiki/Optical_tomography, https://en.wikipedia.org/wiki/Optical_projection_tomography, https://en.wikipedia.org/wiki/Optical_tomography"
topic,http://edamontology.org/topic______Optical_Projection_Tomography,Optical projection tomography,"OPT, OPT, Optical tomography, Optical tomography",,,OPT is a form of tomography using visible light to generate 3D image volumes based on absorption (label-free) or fluorescence.,,"https://en.wikipedia.org/wiki/Optical_projection_tomography, https://en.wikipedia.org/wiki/Optical_tomography, https://en.wikipedia.org/wiki/Optical_projection_tomography, https://en.wikipedia.org/wiki/Optical_tomography"
topic,http://edamontology.org/topic_High_content_screening,High-content analysis,"HCA, High-content imaging",,,,"In simple terms, high-content screening (HCS) is the combination of high-throughput screening (HTS) applied to high-content analysis (HCA)., In simple terms, high-content screening (HCS) is the combination of high-throughput screening (HTS) applied to high-content analysis (HCA).","https://en.wikipedia.org/wiki/High-content_screening, https://en.wikipedia.org/wiki/High-content_screening"
